INFO 2025-10-11 15:43:08,150 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:43:08,150 encryption 8640 23980 DESCIFRADO HÍBRIDO: Iniciando descifrado
INFO 2025-10-11 15:43:08,151 encryption 8640 23980 DESCIFRADO HÍBRIDO: Completado exitosamente
INFO 2025-10-11 15:43:08,154 basehttp 8640 23980 "GET /my-account/ HTTP/1.1" 200 23744
INFO 2025-10-11 15:43:12,156 basehttp 8640 23980 "GET / HTTP/1.1" 200 35725
INFO 2025-10-11 15:44:45,724 views 8640 23980 Usuario cliente1 cerró sesión
INFO 2025-10-11 15:44:45,725 basehttp 8640 23980 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-10-11 15:44:45,730 middleware 8640 23980 IMPORTANT Request: GET /login/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:45,732 basehttp 8640 23980 "GET /login/ HTTP/1.1" 200 12371
INFO 2025-10-11 15:44:52,137 middleware 8640 23980 IMPORTANT Request: POST /login/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:52,380 middleware 8640 30192 IMPORTANT Request: POST /login/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:53,446 views 8640 23980 Usuario admin inició sesión exitosamente desde IP: 127.0.0.1
INFO 2025-10-11 15:44:53,452 basehttp 8640 23980 - Broken pipe from ('127.0.0.1', 61285)
INFO 2025-10-11 15:44:53,703 views 8640 30192 Usuario admin inició sesión exitosamente desde IP: 127.0.0.1
INFO 2025-10-11 15:44:53,709 basehttp 8640 30192 "POST /login/ HTTP/1.1" 302 0
INFO 2025-10-11 15:44:53,715 middleware 8640 30192 IMPORTANT Request: GET /admin-dashboard/ from 127.0.0.1 by Anonymous
INFO 2025-10-11 15:44:53,729 basehttp 8640 30192 "GET /admin-dashboard/ HTTP/1.1" 200 13521
